,time,trip_id,route_id,geometry,direction_id
0,01:00:00,A20171105WKD_000100_2..S08R,2,POINT (-74.00099693501713 40.73672468480159),1.0
5,01:00:00,A20171105WKD_002100_2..S08R,2,POINT (-73.9571461800105 40.79746798628413),1.0
6,02:00:00,A20171105WKD_002100_2..S08R,2,POINT (-73.95007353553819 40.65547658870623),1.0
14,01:00:00,A20171105WKD_004100_2..S08R,2,POINT (-73.88921477048071 40.8349131136728),1.0
15,02:00:00,A20171105WKD_004100_2..S08R,2,POINT (-73.98325016366682 40.68981832879788),1.0
24,02:00:00,A20171105WKD_006100_2..S08R,2,POINT (-74.00099693501713 40.73672468480159),1.0
30,02:00:00,A20171105WKD_008100_2..S08R,2,POINT (-73.9571461800105 40.79746798628413),1.0
31,03:00:00,A20171105WKD_008100_2..S08R,2,POINT (-73.95007353553819 40.65547658870623),1.0
40,02:00:00,A20171105WKD_010100_2..S08R,2,POINT (-73.88921477048071 40.8349131136728),1.0
41,03:00:00,A20171105WKD_010100_2..S08R,2,POINT (-73.98325016366682 40.68981832879788),1.0
55,03:00:00,A20171105WKD_012100_2..S08R,2,POINT (-74.00099693501713 40.73672468480159),1.0
64,03:00:00,A20171105WKD_014100_2..S08R,2,POINT (-73.9571461800105 40.79746798628413),1.0
65,04:00:00,A20171105WKD_014100_2..S08R,2,POINT (-73.95007353553819 40.65547658870623),1.0
78,03:00:00,A20171105WKD_016100_2..S08R,2,POINT (-73.88921477048071 40.8349131136728),1.0
79,04:00:00,A20171105WKD_016100_2..S08R,2,POINT (-73.98325016366682 40.68981832879788),1.0
95,04:00:00,A20171105WKD_018100_2..S08R,2,POINT (-74.00099693501713 40.73672468480159),1.0
104,04:00:00,A20171105WKD_020100_2..S08R,2,POINT (-73.9571461800105 40.79746798628413),1.0
105,05:00:00,A20171105WKD_020100_2..S08R,2,POINT (-73.95007353553819 40.65547658870623),1.0
118,04:00:00,A20171105WKD_022100_2..S08R,2,POINT (-73.88921477048071 40.8349131136728),1.0
119,05:00:00,A20171105WKD_022100_2..S08R,2,POINT (-73.98325016366682 40.68981832879788),1.0
135,05:00:00,A20171105WKD_024100_2..S08R,2,POINT (-74.00099693501713 40.73672468480159),1.0
143,05:00:00,A20171105WKD_026100_2..S08R,2,POINT (-73.9571461800105 40.79746798628413),1.0
144,06:00:00,A20171105WKD_026100_2..S08R,2,POINT (-73.94932693403216 40.64852946268629),1.0
157,05:00:00,A20171105WKD_028100_2..S01R,2,POINT (-73.88921477048071 40.8349131136728),1.0
158,06:00:00,A20171105WKD_028100_2..S01R,2,POINT (-73.95598167882369 40.67024058828529),1.0
177,05:00:00,A20171105WKD_030000_2..S01R,2,POINT (-73.85061999999999 40.903125),1.0
178,06:00:00,A20171105WKD_030000_2..S01R,2,POINT (-74.00654457480137 40.70944355448061),1.0
186,06:00:00,A20171105WKD_031100_2..S01R,2,POINT (-73.98874088541891 40.75357017445121),1.0
197,06:00:00,A20171105WKD_032250_2..S01R,2,POINT (-73.94975998735065 40.8019122618293),1.0
208,06:00:00,A20171105WKD_033300_2..S01R,2,POINT (-73.90982403044937 40.81592629252645),1.0
209,07:00:00,A20171105WKD_033300_2..S01R,2,POINT (-73.94988106684868 40.6536877077183),1.0
223,06:00:00,A20171105WKD_034300_2..S01R,2,POINT (-73.88147906317434 40.83970341064267),1.0
224,07:00:00,A20171105WKD_034300_2..S01R,2,POINT (-73.96626744519044 40.672416386097),1.0
244,06:00:00,A20171105WKD_035300_2..S01R,2,POINT (-73.8668925449329 40.87677932538077),1.0
245,07:00:00,A20171105WKD_035300_2..S01R,2,POINT (-73.99385157688327 40.69767703239005),1.0
771,09:00:00,A20171105WKD_053000_2..S01R,2,POINT (-73.86743267998659 40.86292502855839),1.0
772,10:00:00,A20171105WKD_053000_2..S01R,2,POINT (-74.00972006223166 40.70605730817759),1.0
803,09:00:00,A20171105WKD_053700_2..S01R,2,POINT (-73.85764931189848 40.89287510989292),1.0
804,10:00:00,A20171105WKD_053700_2..S01R,2,POINT (-74.00653941860516 40.72133033466692),1.0
829,10:00:00,A20171105WKD_054800_2..S03R,2,POINT (-73.99116793390078 40.75022121089312),1.0
843,10:00:00,A20171105WKD_055450_2..S01R,2,POINT (-73.97202635872772 40.79433197849821),1.0
862,10:00:00,A20171105WKD_056200_2..S01R,2,POINT (-73.94318753371174 40.81091608343205),1.0
863,11:00:00,A20171105WKD_056200_2..S01R,2,POINT (-73.94869466706368 40.64262301405797),1.0
888,10:00:00,A20171105WKD_057050_2..S01R,2,POINT (-73.9184194725924 40.81627910929976),1.0
889,11:00:00,A20171105WKD_057050_2..S01R,2,POINT (-73.95034711717513 40.65803037476397),1.0
910,10:00:00,A20171105WKD_057700_2..S01R,2,POINT (-73.89479711634195 40.82318001086085),1.0
911,11:00:00,A20171105WKD_057700_2..S01R,2,POINT (-73.95680501803 40.67040967961275),1.0
937,10:00:00,A20171105WKD_058500_2..S01R,2,POINT (-73.87350818744808 40.84187800607978),1.0
938,11:00:00,A20171105WKD_058500_2..S01R,2,POINT (-73.97858292414352 40.68561031106726),1.0
969,10:00:00,A20171105WKD_059350_2..S01R,2,POINT (-73.86561562376178 40.87887699342768),1.0
970,11:00:00,A20171105WKD_059350_2..S01R,2,POINT (-74.00408324700344 40.70057336902093),1.0
997,11:00:00,A20171105WKD_060150_2..S01R,2,POINT (-74.00688680509901 40.71931380793269),1.0
1010,11:00:00,A20171105WKD_060950_2..S01R,2,POINT (-73.98522090323728 40.75894725803128),1.0
1026,11:00:00,A20171105WKD_061750_2..S01R,2,POINT (-73.96414869808608 40.7980714866229),1.0
1044,11:00:00,A20171105WKD_062550_2..S01R,2,POINT (-73.93829293353038 40.81763085985317),1.0
1045,12:00:00,A20171105WKD_062550_2..S01R,2,POINT (-73.94889687779846 40.64451634121144),1.0
1068,11:00:00,A20171105WKD_063350_2..S01R,2,POINT (-73.90787963006946 40.81644959313037),1.0
1069,12:00:00,A20171105WKD_063350_2..S01R,2,POINT (-73.95071176365931 40.66144683182341),1.0
1090,11:00:00,A20171105WKD_064150_2..S01R,2,POINT (-73.88697456396761 40.8378364652601),1.0
1091,12:00:00,A20171105WKD_064150_2..S01R,2,POINT (-73.96960545566142 40.67346943838702),1.0
1110,11:00:00,A20171105WKD_064950_2..S01R,2,POINT (-73.86750562592522 40.86063125322605),1.0
1111,12:00:00,A20171105WKD_064950_2..S01R,2,POINT (-73.99031012964137 40.69384876745291),1.0
1139,11:00:00,A20171105WKD_065750_2..S01R,2,POINT (-73.8566293072947 40.89472235016568),1.0
1140,12:00:00,A20171105WKD_065750_2..S01R,2,POINT (-74.00636081283363 40.70963516952389),1.0
1158,12:00:00,A20171105WKD_066550_2..S01R,2,POINT (-73.99838523049714 40.74033067089365),1.0
1175,12:00:00,A20171105WKD_067350_2..S01R,2,POINT (-73.97974762444203 40.78416015869506),1.0
1191,12:00:00,A20171105WKD_068150_2..S01R,2,POINT (-73.94863049282731 40.80345996914497),1.0
1209,12:00:00,A20171105WKD_068950_2..S01R,2,POINT (-73.92228130851268 40.81727074912261),1.0
1210,13:00:00,A20171105WKD_068950_2..S01R,2,POINT (-73.95003381227058 40.65510738476769),1.0
1232,12:00:00,A20171105WKD_069750_2..S01R,2,POINT (-73.89324015612625 40.82398223546),1.0
1233,13:00:00,A20171105WKD_069750_2..S01R,2,POINT (-73.95680501803 40.67040967961275),1.0
1253,12:00:00,A20171105WKD_070550_2..S01R,2,POINT (-73.87176199488974 40.84327213870313),1.0
1254,13:00:00,A20171105WKD_070550_2..S01R,2,POINT (-73.97858292414352 40.68561031106726),1.0
1276,12:00:00,A20171105WKD_071350_2..S01R,2,POINT (-73.86561562376178 40.87887699342768),1.0
1277,13:00:00,A20171105WKD_071350_2..S01R,2,POINT (-74.00408324700344 40.70057336902093),1.0
1301,13:00:00,A20171105WKD_072150_2..S01R,2,POINT (-74.00688680509901 40.71931380793269),1.0
1312,13:00:00,A20171105WKD_072850_2..S01R,2,POINT (-73.98522090323728 40.75894725803128),1.0
1327,13:00:00,A20171105WKD_073550_2..S01R,2,POINT (-73.96414869808608 40.7980714866229),1.0
1348,13:00:00,A20171105WKD_074550_2..S01R,2,POINT (-73.93829293353038 40.81763085985317),1.0
1349,14:00:00,A20171105WKD_074550_2..S01R,2,POINT (-73.94889687779846 40.64451634121144),1.0
1369,13:00:00,A20171105WKD_075350_2..S01R,2,POINT (-73.90787963006946 40.81644959313037),1.0
1370,14:00:00,A20171105WKD_075350_2..S01R,2,POINT (-73.95071176365931 40.66144683182341),1.0
1391,13:00:00,A20171105WKD_076150_2..S01R,2,POINT (-73.88697456396761 40.8378364652601),1.0
1392,14:00:00,A20171105WKD_076150_2..S01R,2,POINT (-73.96960545566142 40.67346943838702),1.0
1412,13:00:00,A20171105WKD_076950_2..S01R,2,POINT (-73.86750562592522 40.86063125322605),1.0
1413,14:00:00,A20171105WKD_076950_2..S01R,2,POINT (-73.99031012964137 40.69384876745291),1.0
1434,13:00:00,A20171105WKD_077650_2..S01R,2,POINT (-73.8566293072947 40.89472235016568),1.0
1435,14:00:00,A20171105WKD_077650_2..S01R,2,POINT (-74.00636081283363 40.70963516952389),1.0
1453,14:00:00,A20171105WKD_078450_2..S01R,2,POINT (-73.99838523049714 40.74033067089365),1.0
1467,14:00:00,A20171105WKD_079250_2..S01R,2,POINT (-73.97974762444203 40.78416015869506),1.0
1482,14:00:00,A20171105WKD_080050_2..S01R,2,POINT (-73.94863049282731 40.80345996914497),1.0
1502,14:00:00,A20171105WKD_080850_2..S01R,2,POINT (-73.92228130851268 40.81727074912261),1.0
1503,15:00:00,A20171105WKD_080850_2..S01R,2,POINT (-73.94978223157567 40.65276909315694),1.0
1523,14:00:00,A20171105WKD_081650_2..S01R,2,POINT (-73.89324015612625 40.82398223546),1.0
1524,15:00:00,A20171105WKD_081650_2..S01R,2,POINT (-73.95680501803 40.67040967961275),1.0
1544,14:00:00,A20171105WKD_082450_2..S01R,2,POINT (-73.87176199488974 40.84327213870313),1.0
1545,15:00:00,A20171105WKD_082450_2..S01R,2,POINT (-73.97858292414352 40.68561031106726),1.0
1568,14:00:00,A20171105WKD_083250_2..S01R,2,POINT (-73.86561562376178 40.87887699342768),1.0
1569,15:00:00,A20171105WKD_083250_2..S01R,2,POINT (-74.00408324700344 40.70057336902093),1.0
1593,15:00:00,A20171105WKD_084100_2..S01R,2,POINT (-74.00688680509901 40.71931380793269),1.0
1608,15:00:00,A20171105WKD_084800_2..S01R,2,POINT (-73.98522090323728 40.75894725803128),1.0
1623,15:00:00,A20171105WKD_085700_2..S01R,2,POINT (-73.96414869808608 40.7980714866229),1.0
1639,15:00:00,A20171105WKD_086450_2..S01R,2,POINT (-73.93461326797585 40.8193051937624),1.0
1640,16:00:00,A20171105WKD_086450_2..S01R,2,POINT (-73.94781224767044 40.63441472059549),1.0
1661,15:00:00,A20171105WKD_087300_2..S01R,2,POINT (-73.89967835326773 40.8206636481758),1.0
1662,16:00:00,A20171105WKD_087300_2..S01R,2,POINT (-73.95077484239675 40.66967096862703),1.0
1680,15:00:00,A20171105WKD_088050_2..S01R,2,POINT (-73.88363529398382 40.839471266953),1.0
1681,16:00:00,A20171105WKD_088050_2..S01R,2,POINT (-73.97594454920515 40.68199267550396),1.0
1708,15:00:00,A20171105WKD_089050_2..S01R,2,POINT (-73.86707088897528 40.87435095965128),1.0
1709,16:00:00,A20171105WKD_089050_2..S01R,2,POINT (-74.00408324700344 40.70057336902093),1.0
1732,15:00:00,A20171105WKD_089800_2..S01R,2,POINT (-73.85178755306134 40.9016395461127),1.0
1733,16:00:00,A20171105WKD_089800_2..S01R,2,POINT (-74.00541620607174 40.72795917014378),1.0
1748,16:00:00,A20171105WKD_090550_2..S01R,2,POINT (-73.98187570787675 40.76812025116629),1.0
1761,16:00:00,A20171105WKD_091350_2..S01R,2,POINT (-73.9571461800105 40.79746798628413),1.0
1782,16:00:00,A20171105WKD_092300_2..S01R,2,POINT (-73.93558930616439 40.81929219657179),1.0
1783,17:00:00,A20171105WKD_092300_2..S01R,2,POINT (-73.94832299068177 40.63915088238198),1.0
1802,16:00:00,A20171105WKD_092950_2..S01R,2,POINT (-73.90787963006946 40.81644959313037),1.0
1803,17:00:00,A20171105WKD_092950_2..S01R,2,POINT (-73.9509440750134 40.663694811033),1.0
1829,16:00:00,A20171105WKD_093800_2..S01R,2,POINT (-73.89034866946132 40.83301631159426),1.0
1830,17:00:00,A20171105WKD_093800_2..S01R,2,POINT (-73.96799254925652 40.67280780335209),1.0
1849,16:00:00,A20171105WKD_094450_2..S01R,2,POINT (-73.8677975339305 40.85140509096161),1.0
1850,17:00:00,A20171105WKD_094450_2..S01R,2,POINT (-73.9861724380754 40.69098851282146),1.0
1875,16:00:00,A20171105WKD_095250_2..S01R,2,POINT (-73.86561562376178 40.87887699342768),1.0
1876,17:00:00,A20171105WKD_095250_2..S01R,2,POINT (-74.00920248888447 40.704303737097),1.0
1902,16:00:00,A20171105WKD_095950_2..S01R,2,POINT (-73.8518716104544 40.90150610091285),1.0
1903,17:00:00,A20171105WKD_095950_2..S01R,2,POINT (-74.00688680509901 40.71931380793269),1.0
1922,17:00:00,A20171105WKD_096700_2..S01R,2,POINT (-73.99213072701542 40.74890383625879),1.0
1939,17:00:00,A20171105WKD_097300_2..S01R,2,POINT (-73.98119681514831 40.78134424934131),1.0
1953,17:00:00,A20171105WKD_097900_2..S01R,2,POINT (-73.9571461800105 40.79746798628413),1.0
1961,17:00:00,A20171105WKD_098400_2..S01R,2,POINT (-73.94197683959538 40.81257518277669),1.0
1962,18:00:00,A20171105WKD_098400_2..S01R,2,POINT (-73.94798249534088 40.63599344119098),1.0
1980,17:00:00,A20171105WKD_098900_2..S01R,2,POINT (-73.92421222647282 40.81776656903403),1.0
1981,18:00:00,A20171105WKD_098900_2..S01R,2,POINT (-73.95001284721266 40.65491252713346),1.0
2001,17:00:00,A20171105WKD_099450_2..S01R,2,POINT (-73.90426686086141 40.81837509192354),1.0
2002,18:00:00,A20171105WKD_099450_2..S01R,2,POINT (-73.95954846006663 40.67097825006197),1.0
2020,17:00:00,A20171105WKD_099950_2..S01R,2,POINT (-73.89148583537434 40.83112158187184),1.0
2021,18:00:00,A20171105WKD_099950_2..S01R,2,POINT (-73.9749025914673 40.6805592282004),1.0
2058,17:00:00,A20171105WKD_100850_2..S01R,2,POINT (-73.8676512205388 40.85604369314641),1.0
2059,18:00:00,A20171105WKD_100850_2..S01R,2,POINT (-73.99094063295381 40.69567907627818),1.0
2077,17:00:00,A20171105WKD_101200_2..S01R,2,POINT (-73.86714685413148 40.87190750487898),1.0
2078,18:00:00,A20171105WKD_101200_2..S01R,2,POINT (-74.00408324700344 40.70057336902093),1.0
2120,18:00:00,A20171105WKD_102300_2..S01R,2,POINT (-74.00403810713273 40.73144527465169),1.0
2134,18:00:00,A20171105WKD_102900_2..S01R,2,POINT (-73.98534239905122 40.75859611915264),1.0
2150,18:00:00,A20171105WKD_103500_2..S01R,2,POINT (-73.97390551080007 40.79174922420838),1.0
2165,18:00:00,A20171105WKD_104100_2..S01R,2,POINT (-73.94863049282731 40.80345996914497),1.0
2191,18:00:00,A20171105WKD_104900_2..S01R,2,POINT (-73.92421222647282 40.81776656903403),1.0
2192,19:00:00,A20171105WKD_104900_2..S01R,2,POINT (-73.94988106684868 40.6536877077183),1.0
2220,18:00:00,A20171105WKD_105700_2..S01R,2,POINT (-73.89479711634195 40.82318001086085),1.0
2221,19:00:00,A20171105WKD_105700_2..S01R,2,POINT (-73.95927421139699 40.67092093191432),1.0
2253,18:00:00,A20171105WKD_106550_2..S01R,2,POINT (-73.87176199488974 40.84327213870313),1.0
2254,19:00:00,A20171105WKD_106550_2..S01R,2,POINT (-73.97954733695839 40.68694073408208),1.0
2285,18:00:00,A20171105WKD_107350_2..S01R,2,POINT (-73.86561562376178 40.87887699342768),1.0
2286,19:00:00,A20171105WKD_107350_2..S01R,2,POINT (-74.00597225531035 40.70154021707747),1.0
2308,18:00:00,A20171105WKD_107950_2..S01R,2,POINT (-73.8518716104544 40.90150610091285),1.0
2309,19:00:00,A20171105WKD_107950_2..S01R,2,POINT (-74.00886816228262 40.71307667140279),1.0
2326,19:00:00,A20171105WKD_108750_2..S01R,2,POINT (-73.99369631338236 40.74676197376078),1.0
2347,19:00:00,A20171105WKD_109650_2..S01R,2,POINT (-73.97014335429625 40.7969120098364),1.0
2362,19:00:00,A20171105WKD_110350_2..S01R,2,POINT (-73.9443982278281 40.80925698408741),1.0
2382,19:00:00,A20171105WKD_111050_2..S01R,2,POINT (-73.9184194725924 40.81627910929976),1.0
2383,20:00:00,A20171105WKD_111050_2..S01R,2,POINT (-73.94909963562206 40.64640960981944),1.0
2409,19:00:00,A20171105WKD_112000_2..S01R,2,POINT (-73.89034866946132 40.83301631159426),1.0
2410,20:00:00,A20171105WKD_112000_2..S01R,2,POINT (-73.95927421139699 40.67092093191432),1.0
2425,19:00:00,A20171105WKD_112550_2..S01R,2,POINT (-73.87141141667411 40.84354927908806),1.0
2426,20:00:00,A20171105WKD_112550_2..S01R,2,POINT (-73.97594454920515 40.68199267550396),1.0
2451,19:00:00,A20171105WKD_113350_2..S01R,2,POINT (-73.86561562376178 40.87887699342768),1.0
2452,20:00:00,A20171105WKD_113350_2..S01R,2,POINT (-74.00597225531035 40.70154021707747),1.0
2483,20:00:00,A20171105WKD_114400_2..S01R,2,POINT (-73.99682513235078 40.74247653275577),1.0
2499,20:00:00,A20171105WKD_115200_2..S01R,2,POINT (-73.98210715434647 40.76956986516613),1.0
2514,20:00:00,A20171105WKD_115900_2..S01R,2,POINT (-73.95954104887964 40.79707383859075),1.0
2524,20:00:00,A20171105WKD_116400_2..S01R,2,POINT (-73.93720548320186 40.81879609135987),1.0
2549,20:00:00,A20171105WKD_117350_2..S01R,2,POINT (-73.90787963006946 40.81644959313037),1.0
2550,21:00:00,A20171105WKD_117350_2..S01R,2,POINT (-73.94978223157567 40.65276909315694),1.0
2569,20:00:00,A20171105WKD_118050_2..S01R,2,POINT (-73.88921477048071 40.8349131136728),1.0
2570,21:00:00,A20171105WKD_118050_2..S01R,2,POINT (-73.9627046368353 40.67163789302852),1.0
2576,20:00:00,A20171105WKD_118350_2..S01R,2,POINT (-73.87176199488974 40.84327213870313),1.0
2577,21:00:00,A20171105WKD_118350_2..S01R,2,POINT (-73.98178901126632 40.68923327473435),1.0
2612,20:00:00,A20171105WKD_119550_2..S01R,2,POINT (-73.86066929386051 40.88743087052256),1.0
2613,21:00:00,A20171105WKD_119550_2..S01R,2,POINT (-74.0076106961104 40.70289275376719),1.0
2633,21:00:00,A20171105WKD_120350_2..S01R,2,POINT (-74.00541620607174 40.72795917014378),1.0
2650,21:00:00,A20171105WKD_121400_2..S01R,2,POINT (-73.98119681514831 40.78134424934131),1.0
2668,21:00:00,A20171105WKD_122400_2..S01R,2,POINT (-73.94278396900629 40.81146911654693),1.0
2692,21:00:00,A20171105WKD_123400_2..S01R,2,POINT (-73.90610951545312 40.81748240364697),1.0
2693,22:00:00,A20171105WKD_123400_2..S01R,2,POINT (-73.95071176365931 40.66144683182341),1.0
2718,21:00:00,A20171105WKD_124600_2..S01R,2,POINT (-73.87037917419076 40.84498086615015),1.0
2719,22:00:00,A20171105WKD_124600_2..S01R,2,POINT (-73.9749025914673 40.6805592282004),1.0
2749,21:00:00,A20171105WKD_125800_2..S01R,2,POINT (-73.85561002465464 40.89656998979166),1.0
2750,22:00:00,A20171105WKD_125800_2..S01R,2,POINT (-74.00729401877668 40.70869117480539),1.0
2769,22:00:00,A20171105WKD_126950_2..S01R,2,POINT (-73.98691379165471 40.75609258379846),1.0
2778,22:00:00,A20171105WKD_127600_2..S01R,2,POINT (-73.97239977384295 40.79381373561517),1.0
2786,22:00:00,A20171105WKD_128000_2..S01R,2,POINT (-73.94863049282731 40.80345996914497),1.0
2814,22:00:00,A20171105WKD_129500_2..S01R,2,POINT (-73.90195769826188 40.8194883875904),1.0
2815,23:00:00,A20171105WKD_129500_2..S01R,2,POINT (-73.95024311964329 40.65705599788866),1.0
2842,22:00:00,A20171105WKD_130800_2..S01R,2,POINT (-73.86772357268002 40.85374989900725),1.0
2843,23:00:00,A20171105WKD_130800_2..S01R,2,POINT (-73.97954733695839 40.68694073408208),1.0
2871,23:00:00,A20171105WKD_132100_2..S01R,2,POINT (-74.00776612147015 40.7125712763918),1.0
2881,23:00:00,A20171105WKD_133300_2..S01R,2,POINT (-73.98215602760779 40.77142704909593),1.0
2901,23:00:00,A20171105WKD_134550_2..S01R,2,POINT (-73.94116971018448 40.81368124900645),1.0
2920,23:00:00,A20171105WKD_135800_2..S01R,2,POINT (-73.89427812960338 40.82344741906056),1.0
2937,23:00:00,A20171105WKD_137000_2..S01R,2,POINT (-73.86750562592522 40.86063125322605),1.0
